TicketKey,TicketID,Project,ProjectKey,Summary,Description,IssueType,Status,StatusCategory,IsCurrent,StatusEntryDate,StatusExitDate,TimeInStatusHours,Priority,Assignee,AssigneeEmail,AssigneeAccountID,Reporter,Creator,Created,Updated,ResolutionDate,DueDate,SprintState
DL-69,10000,DL,DL,EQUIPEMENTS,Analyse et développement selon les spécifications du ticket DL-69.,Epic,In Analysis,In Progress,No,12/02/2025 00:00,14/02/2025 16:29,64.49,Medium,,,acc_0000,Chef de projet,Chef de projet,12/02/2025 00:00,14/02/2025 16:29,,2025/03/21,KANBAN BOARD
DL-69,10000,DL,DL,EQUIPEMENTS,Analyse et développement selon les spécifications du ticket DL-69.,Epic,In Process,In Progress,Yes,14/02/2025 16:29,,0.0,Medium,,,acc_0000,Chef de projet,Chef de projet,12/02/2025 00:00,14/02/2025 16:29,,2025/03/21,KANBAN BOARD
DL-107,10001,DL,DL,BANCASSURANCE,Analyse et développement selon les spécifications du ticket DL-107.,Story,To Do,In Progress,No,24/04/2025 08:00,24/04/2025 13:47,5.79,Medium,,,acc_0001,Chef de projet,Chef de projet,24/04/2025 08:00,24/04/2025 13:47,,,KANBAN BOARD
DL-107,10001,DL,DL,BANCASSURANCE,Analyse et développement selon les spécifications du ticket DL-107.,Story,In Process,In Progress,Yes,24/04/2025 13:47,,0.0,Medium,,,acc_0001,Chef de projet,Chef de projet,24/04/2025 08:00,24/04/2025 13:47,,,KANBAN BOARD
DL-108,10002,DL,DL,BANQUE A DISTANCE,Analyse et développement selon les spécifications du ticket DL-108.,Story,In Analysis,In Progress,No,17/05/2025 16:00,20/05/2025 06:57,62.96,Medium,,,acc_0002,Chef de projet,Chef de projet,17/05/2025 16:00,20/05/2025 06:57,,,KANBAN BOARD
DL-108,10002,DL,DL,BANQUE A DISTANCE,Analyse et développement selon les spécifications du ticket DL-108.,Story,To Do,In Progress,Yes,20/05/2025 06:57,,0.0,Medium,,,acc_0002,Chef de projet,Chef de projet,17/05/2025 16:00,20/05/2025 06:57,,,KANBAN BOARD
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,In Analysis,In Progress,No,11/03/2025 00:00,12/03/2025 16:24,40.42,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,12/03/2025 16:24,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,To Do,In Progress,No,12/03/2025 16:24,13/03/2025 01:18,8.89,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,13/03/2025 01:18,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,In Process,In Progress,No,13/03/2025 01:18,17/03/2025 21:01,115.72,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,17/03/2025 21:01,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,In Review,In Progress,No,17/03/2025 21:01,18/03/2025 20:29,23.46,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,18/03/2025 20:29,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,Ready For Test,In Progress,No,18/03/2025 20:29,19/03/2025 03:48,7.32,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,19/03/2025 03:48,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,QA In Process,In Progress,No,19/03/2025 03:48,19/03/2025 18:38,14.84,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,19/03/2025 18:38,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,Correction Post QA,In Progress,No,19/03/2025 18:38,20/03/2025 20:49,26.19,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,20/03/2025 20:49,,2025/03/21,Sprint 9
DL-109,10003,DL,DL,OPCVM,Analyse et développement selon les spécifications du ticket DL-109.,Story,Blocked,In Progress,No,20/03/2025 20:49,22/03/2025 20:15,47.43,Medium,,,acc_0003,Chef de projet,Chef de projet,11/03/2025 00:00,22/03/2025 20:15,,2025/03/21,Sprint 9
